week_ending,crashes,persons_injured,persons_killed,pedestrians_injured,pedestrians_killed,cyclists_injured,shooting_incidents,shooting_victims,shooting_murders,hpd_complaints,hpd_heat_hot_water,hpd_heat_pct,hpd_bronx_pct,hpd_open_pct,hpd_immediate_emergency,vacate_orders_new,vacate_orders_active,restaurant_inspections,critical_violations,restaurant_closures,dob_filings,dob_large_projects_over_1m
2026-03-13,924,565,5,108,2,54,0,0,0,17969,5822,32.4,35.9,72.0,717,20,12,126,61,5,0,0
2026-03-30,362,178,1,41,0,24,0,0,0,16456,5621,34.2,35.5,0.0,0,20,20,1157,584,4,2000,133
2026-04-06,365,208,1,38,1,24,0,0,0,14037,3630,25.9,34.3,0.0,0,29,29,1255,668,10,2000,83
2026-04-13,324,207,1,33,1,19,0,0,0,16624,5270,31.7,33.8,0.0,0,30,30,1175,603,12,37,5
2026-04-20,368,256,1,40,0,29,0,0,0,12614,1689,13.4,34.1,0.0,0,33,33,1126,612,6,2000,99
2026-04-27,342,189,1,47,1,24,0,0,0,15855,5372,33.9,33.1,0.0,0,29,29,1216,635,12,2000,87
2026-05-04,396,267,0,49,0,30,0,0,0,15294,3630,23.7,31.0,0.0,0,30,30,1275,681,4,2000,87
2026-05-18,399,260,0,41,0,34,0,0,0,14336,2590,18.1,37.0,0.0,0,19,19,1323,706,7,2000,77
2026-05-25,430,264,0,45,1,35,0,0,0,9940,981,9.9,32.6,0.0,0,28,28,940,515,8,1965,73
2026-06-08,459,298,0,43,1,31,0,0,0,12556,1334,10.6,31.6,0.0,0,27,27,1085,567,4,2000,57
2026-06-15,410,264,0,50,0,33,0,0,0,13045,1057,8.1,31.8,0.0,0,25,25,1240,676,10,2000,91
2026-06-22,0,0,0,0,0,0,0,0,0,11782,922,7.8,31.9,0.0,0,25,25,1266,704,8,2000,87
2026-07-06,0,0,0,0,0,0,0,0,0,14740,1234,8.4,39.2,0.0,0,21,21,1413,758,8,2000,93
2026-07-13,0,0,0,0,0,0,0,0,0,13666,1057,7.7,31.9,0.0,0,28,28,928,524,5,2000,86
2026-07-20,0,0,0,0,0,0,0,0,0,13513,886,6.6,31.1,0.0,0,15,15,1314,728,9,2000,72
2026-07-27,0,0,0,0,0,0,0,0,0,13852,926,6.7,30.2,0.0,0,28,28,1393,773,17,2000,104
2026-08-07,0,0,0,0,0,0,0,0,0,12294,746,6.1,31.5,0.0,0,7,7,1252,645,3,2000,77
2026-08-10,0,0,0,0,0,0,0,0,0,15252,886,5.8,33.5,0.0,0,15,15,1280,672,4,146,16
2026-08-17,0,0,0,0,0,0,0,0,0,12646,647,5.1,31.8,0.0,0,24,24,1421,761,12,2000,58
2026-08-24,,,,,,,,,,13819,825,6.0,31.4,0.0,0,28,28,1173,637,6,3153,146
2026-08-31,,,,,,,,,,13588,883,6.5,30.9,0.0,0,19,19,834,431,4,12,0
2026-09-07,,,,,,,,,,13383,743,5.6,30.2,0.0,0,20,20,1081,588,8,2504,133
2026-09-14,,,,,,,,,,11473,763,6.7,31.8,0.0,0,8,8,884,480,9,2,0
